protein1,protein2,combined_score
7668.SPU_006487-tr,7668.SPU_021322-tr,999
7668.SPU_006487-tr,7668.SPU_005280-tr,999
7668.SPU_006487-tr,7668.SPU_011075-tr,999
7668.SPU_006487-tr,7668.SPU_013834-tr,999
7668.SPU_006487-tr,7668.SPU_003905-tr,999
7668.SPU_006487-tr,7668.SPU_008211-tr,999
7668.SPU_006487-tr,7668.SPU_000395-tr,999
7668.SPU_006487-tr,7668.SPU_011111-tr,999
7668.SPU_006487-tr,7668.SPU_028247-tr,999
7668.SPU_006569-tr,7668.SPU_008778-tr,999
7668.SPU_006569-tr,7668.SPU_028155-tr,999
7668.SPU_006569-tr,7668.SPU_008558-tr,999
7668.SPU_006569-tr,7668.SPU_010626-tr,999
7668.SPU_006569-tr,7668.SPU_008211-tr,999
7668.SPU_006569-tr,7668.SPU_010528-tr,999
7668.SPU_006569-tr,7668.SPU_012865-tr,999
7668.SPU_006569-tr,7668.SPU_023517-tr,999
7668.SPU_006569-tr,7668.SPU_005709-tr,999
7668.SPU_006569-tr,7668.SPU_021322-tr,999
7668.SPU_006569-tr,7668.SPU_018866-tr,999
7668.SPU_006569-tr,7668.SPU_015666-tr,999
7668.SPU_006569-tr,7668.SPU_023692-tr,999
7668.SPU_006944-tr,7668.SPU_008776-tr,999
7668.SPU_007202-tr,7668.SPU_009300-tr,999
7668.SPU_007595-tr,7668.SPU_014882-tr,999
7668.SPU_007670-tr,7668.SPU_028912-tr,999
7668.SPU_007960-tr,7668.SPU_000022-tr,999
7668.SPU_007960-tr,7668.SPU_001183-tr,999
7668.SPU_008211-tr,7668.SPU_006213-tr,999
7668.SPU_008211-tr,7668.SPU_028226-tr,999
7668.SPU_008211-tr,7668.SPU_022957-tr,999
7668.SPU_008211-tr,7668.SPU_016200-tr,999
7668.SPU_008211-tr,7668.SPU_004996-tr,999
7668.SPU_008211-tr,7668.SPU_002438-tr,999
7668.SPU_008211-tr,7668.SPU_008650-tr,999
7668.SPU_008211-tr,7668.SPU_012865-tr,999
7668.SPU_008211-tr,7668.SPU_015276-tr,999
7668.SPU_008211-tr,7668.SPU_002880-tr,999
7668.SPU_008211-tr,7668.SPU_020745-tr,999
7668.SPU_008211-tr,7668.SPU_013662-tr,999
7668.SPU_008211-tr,7668.SPU_018866-tr,999
7668.SPU_008211-tr,7668.SPU_015666-tr,999
7668.SPU_008211-tr,7668.SPU_004609-tr,999
7668.SPU_008349-tr,7668.SPU_003867-tr,999
7668.SPU_008455-tr,7668.SPU_014882-tr,999
7668.SPU_008558-tr,7668.SPU_006213-tr,999
7668.SPU_008558-tr,7668.SPU_028226-tr,999
7668.SPU_008558-tr,7668.SPU_023517-tr,999
7668.SPU_008558-tr,7668.SPU_005252-tr,999
7668.SPU_008558-tr,7668.SPU_011572-tr,999
7668.SPU_008558-tr,7668.SPU_003849-tr,999
7668.SPU_008558-tr,7668.SPU_005280-tr,999
7668.SPU_008558-tr,7668.SPU_011075-tr,999
7668.SPU_008558-tr,7668.SPU_013834-tr,999
7668.SPU_008558-tr,7668.SPU_006569-tr,999
7668.SPU_008558-tr,7668.SPU_006487-tr,999
7668.SPU_008558-tr,7668.SPU_008650-tr,999
7668.SPU_008558-tr,7668.SPU_023692-tr,999
7668.SPU_008560-tr,7668.SPU_027527-tr,999
7668.SPU_008650-tr,7668.SPU_004721-tr,999
7668.SPU_008650-tr,7668.SPU_028226-tr,999
7668.SPU_008650-tr,7668.SPU_021924-tr,999
7668.SPU_008650-tr,7668.SPU_003718-tr,999
